player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
ev,11,4,2,4,1,1,2,0,0.6875,0.6193693693693693,0,4,1,2,0,2,13.090909090909092
ryan,6,4,0,2,3,0,0,2,0.4,0.6,2,2,2,1,0,0,13.714285714285714
dylan,11,1,1,1,1,2,2,3,0.8,0.935374149659864,1,0,1,0,0,1,9.454545454545455
kelo,15,1,4,3,4,3,0,0,0.5357142857142857,0.5357142857142857,0,1,4,1,0,4,5.714285714285714
tariq,3,3,2,0,2,1,0,0,0.3,0.3,0,3,1,0,0,0,5.333333333333333
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeff,7,1,0,2,3,1,0,0,0.5833333333333334,0.5833333333333334,0,1,0,2,1,0,12.571428571428571
joey,1,4,3,0,2,0,1,1,0,0.09191176470588235,2,2,0,0,0,0,0
chris,15,11,6,7,0,0,2,1,0.5384615384615384,0.5403458213256483,6,5,4,1,0,1,16.533333333333335
keo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mike,3,0,0,0,0,1,0,0,1.5,1.5,0,0,0,0,0,0,16
