player,minutes,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,ft_attempts,ft_made,eFG,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,fouls,trueShooting,PER,gamesPlayed
0,52,3,0,0,0,1,1,0,0,0.75,0,0,0,0,0,0,0,0,7.5,3
cheihk,109,46,21,7,13,13,3,1,11,0.4861111111111111,6,15,10,3,3,8,0,0,11.148648648648647,5
ryan,53,14,7,8,2,4,3,3,1,0.38235294117647056,1,6,2,1,0,1,1,0,6.111111111111111,3
dylan,135,55,27,10,6,18,9,3,16,0.45348837209302323,8,19,5,11,4,4,3,0,12.068965517241379,6
kelo,143,78,17,22,16,33,14,0,4,0.43529411764705883,1,16,16,5,0,7,0,0,5.785714285714286,6
pope,368,76,85,36,23,13,5,10,15,0.3961038961038961,42,43,30,20,5,36,21,0,12.20496894409938,14
tariq,147,23,21,6,7,8,3,0,0,0.4791666666666667,4,17,3,3,1,4,2,0,12.073170731707318,6
ev,82,20,10,1,6,1,2,0,2,0.9,2,8,8,6,0,9,0,0,15.96774193548387,4
chosen,199,33,16,17,11,9,2,9,5,0.358974358974359,10,6,5,9,1,11,3,0,5.785714285714286,8
tyriq,139,73,33,10,20,21,10,2,3,0.5737704918032787,10,23,11,13,0,9,2,0,11.946902654867257,6
nick,168,59,23,9,16,22,9,0,0,0.5267857142857143,7,16,16,7,1,9,3,0,10,7
trev,109,46,12,15,11,14,8,0,0,0.4791666666666667,4,8,1,9,8,4,2,0,8.164556962025317,5
cordell,110,25,26,8,8,6,2,3,3,0.4583333333333333,2,24,11,4,3,5,0,0,17.045454545454547,5
chris,132,97,46,31,42,2,0,9,13,0.56,14,32,7,14,7,7,6,0,14.343065693430658,6
jared,135,40,29,15,9,11,5,7,7,0.4125,13,16,3,3,13,3,4,0,12.82608695652174,6
cordell's buddy,23,0,2,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,-5,2
dom,157,77,46,19,25,11,7,2,6,0.5725806451612904,17,29,10,6,1,5,1,0,14.0625,7
eman,206,40,22,7,8,9,6,4,6,0.5666666666666667,6,16,14,6,0,9,3,0,13.153846153846153,8
joey,49,21,11,4,3,9,4,1,3,0.45,2,9,7,0,5,0,0,0,13.676470588235293,3
josh,56,2,2,2,1,1,0,0,0,0.25,1,1,0,0,1,1,2,0,2.5,3
jason,30,15,0,2,1,3,4,1,1,0.7,0,0,0,3,1,0,1,0,10.5,2
norm,26,4,4,5,2,0,0,0,0,0.2857142857142857,2,2,0,0,0,1,0,0,3,2
eman's guy,34,6,3,7,1,2,0,2,4,0.1,2,1,2,2,2,0,2,0,6,2
lil kelo,34,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,-11.25,2
